Date,Name,Year,Letterboxd URI,Rating
2024-12-29,They Cloned Tyrone,2023,https://boxd.it/rE7a,4
2025-01-01,Carry-On,2024,https://boxd.it/C0B2,3
2025-01-01,Bloodshot,2020,https://boxd.it/bfG8,2.5
2025-01-01,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2025-01-02,Babylon,2022,https://boxd.it/mM02,3.5
2025-01-04,Creed II,2018,https://boxd.it/hgl8,3.5
2025-01-04,The Batman,2022,https://boxd.it/eDGs,5
2025-01-04,Drive,2011,https://boxd.it/IG,5
2025-01-04,Dune: Part Two,2024,https://boxd.it/pUfA,5
2025-01-04,The Proposal,2009,https://boxd.it/1HiS,3.5
2025-01-10,1917,2019,https://boxd.it/jj4y,4
2025-01-11,The Menu,2022,https://boxd.it/lScm,4
2025-01-14,Little,2019,https://boxd.it/j6Cs,3
2025-01-14,Wicked,2024,https://boxd.it/e8ME,3.5
2025-01-14,The Rock,1996,https://boxd.it/1XM0,4
2025-01-15,Juror #2,2024,https://boxd.it/FRwU,3
2025-01-16,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2025-01-16,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,4.5
2025-01-18,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2025-01-18,Creed III,2023,https://boxd.it/pf68,3.5
2025-01-18,Tag,2018,https://boxd.it/gh7Y,3
2025-01-20,The Secret Life of Pets 2,2019,https://boxd.it/ewPM,3.5
2025-01-27,Spenser Confidential,2020,https://boxd.it/log4,2.5
2025-01-30,Source Code,2011,https://boxd.it/fdo,3.5
2025-02-01,The Penguin,2024,https://boxd.it/QkIU,4.5
2025-02-08,Avengers: Endgame,2019,https://boxd.it/9vE4,4.5
2025-02-08,Reservoir Dogs,1992,https://boxd.it/2agc,4
2025-02-09,Grease,1978,https://boxd.it/29YW,3.5
2025-02-11,Shutter Island,2010,https://boxd.it/1U82,5
2025-02-11,The Butterfly Effect,2004,https://boxd.it/27M0,4.5
2025-02-11,Fight Club,1999,https://boxd.it/2a9q,5
2025-02-11,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2025-02-11,Interstellar,2014,https://boxd.it/4VZ8,5
2025-02-22,The Gorge,2025,https://boxd.it/zRqK,3
2025-02-25,Coming 2 America,2021,https://boxd.it/hrdu,3
2025-02-25,Shaolin Soccer,2001,https://boxd.it/1T86,4
2025-02-26,Companion,2025,https://boxd.it/F04o,3.5
2025-03-01,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2025-03-08,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-03-09,Predestination,2014,https://boxd.it/6bJM,4
2025-03-09,Glass Onion,2022,https://boxd.it/oCkK,3.5
2025-03-14,See How They Run,2022,https://boxd.it/sNVq,3.5
2025-04-05,The Tomorrow War,2021,https://boxd.it/lE78,3.5
2025-04-22,Thunder Force,2021,https://boxd.it/mLsE,0.5
2025-04-26,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2025-05-02,Palm Springs,2020,https://boxd.it/lCXQ,3
2025-05-10,Drop,2025,https://boxd.it/LyPq,3
2025-05-10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2025-05-11,Challengers,2024,https://boxd.it/zld0,4
2025-05-11,Get Out,2017,https://boxd.it/eOCm,4.5
2025-05-12,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4.5
2025-05-13,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2025-05-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2025-05-16,Star Wars,1977,https://boxd.it/72s,4
2025-05-16,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2025-05-16,Perfect Blue,1997,https://boxd.it/1W7A,4
2025-05-17,Conclave,2024,https://boxd.it/AO8q,3
2025-05-19,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,3.5
2025-05-23,Sinners,2025,https://boxd.it/KQMM,5
2025-05-23,Bumblebee,2018,https://boxd.it/f21O,3
2025-05-24,Kate,2021,https://boxd.it/m2qy,3.5
2025-05-24,The Karate Kid,1984,https://boxd.it/27Wk,4
2025-05-24,The Karate Kid,2010,https://boxd.it/15HA,3
2025-05-25,Aladdin,2019,https://boxd.it/eSjy,3
2025-05-25,F9,2021,https://boxd.it/dqsU,2
2025-05-25,Furious 7,2015,https://boxd.it/5cVs,3.5
2025-05-28,Nope,2022,https://boxd.it/sDCe,3.5
2025-05-28,Remember the Titans,2000,https://boxd.it/1VLk,3
2025-05-29,Meg 2: The Trench,2023,https://boxd.it/mLvo,2.5
2025-05-29,Opus,2025,https://boxd.it/JBMA,2.5
2025-05-31,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,3.5
2025-05-31,13 Going on 30,2004,https://boxd.it/1X6e,3
2025-06-03,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2025-06-03,Se7en,1995,https://boxd.it/29zs,5
2025-06-05,Grave of the Fireflies,1988,https://boxd.it/1RUM,4.5
2025-06-07,Burn After Reading,2008,https://boxd.it/23BW,3.5
2025-06-12,The Gentlemen,2019,https://boxd.it/iYBQ,4
